,NORMAL,CNV,DME,DRUSEN,CSC,MH,MacTel,Stargardt,RP
NORMAL,220,0,5,16,0,0,5,1,3
CNV,5,178,21,29,4,0,0,10,3
DME,46,35,128,23,0,2,5,4,7
DRUSEN,20,30,12,166,0,0,0,21,1
CSC,0,1,0,0,4,0,0,0,0
MH,0,0,0,0,1,4,0,0,0
MacTel,0,0,0,0,0,0,1,1,2
Stargardt,0,0,0,0,0,0,1,3,0
RP,0,0,1,0,1,0,0,1,1
