,NORMAL,CNV,DME,DRUSEN,CSC,MH,MacTel,Stargardt,RP
none,0.9996165803108809,0.9962279792746114,0.9960984455958549,0.9930310880829015,0.9996066863323501,0.999803343166175,0.9992632612966601,0.9997544204322201,0.9982809430255403
basic,0.9992487046632125,0.9964300518134714,0.997440414507772,0.9928134715025907,0.9994100294985251,1.0,0.9990176817288802,1.0,0.9995088408644401
knn,0.991800518134715,0.9835051813471503,0.9315129533678755,0.9619119170984456,0.8,0.8,0.75,0.75,0.7487721021611001
proto,0.9300932642487046,0.8901036269430052,0.7985906735751296,0.9343523316062177,0.9923303834808259,1.0,0.9420432220039293,0.9693025540275049,0.8671414538310411
