model,acc,kappa,rci,mcc,acc_ci,mcc_ci,paper_acc,paper_kappa,paper_rci,paper_mcc
none,90.31311154598825,0.8724760651572213,0.7875212374264311,0.8788154887264005,88.6-92.1,0.859-0.900,88.4,0.847,0.916,0.848
basic,88.84540117416829,0.8532450764899641,0.7600966143901176,0.8609196067300882,86.9-90.6,0.838-0.882,91.3,0.886,0.953,0.887
knn,86.39921722113503,0.8202832545812222,0.661864349506264,0.8274208681050859,84.3-88.5,0.803-0.852,91.2,0.885,0.972,0.886
proto,68.98238747553816,0.6000933190474544,0.4299508707990142,0.6040551654081256,66.0-71.9,0.569-0.640,80.8,0.753,0.933,0.755
