,NORMAL,CNV,DME,DRUSEN,CSC,MH,MacTel,Stargardt,RP
NORMAL,249,0,0,1,0,0,0,0,0
CNV,0,247,0,3,0,0,0,0,0
DME,37,31,174,8,0,0,0,0,0
DRUSEN,12,28,2,208,0,0,0,0,0
CSC,1,1,0,0,3,0,0,0,0
MH,1,2,0,0,0,2,0,0,0
MacTel,3,1,0,0,0,0,0,0,0
Stargardt,0,3,0,0,0,0,0,0,1
RP,2,1,0,1,0,0,0,0,0
