,NORMAL,CNV,DME,DRUSEN,CSC,MH,MacTel,Stargardt,RP
NORMAL,246,1,1,2,0,0,0,0,0
CNV,0,248,2,0,0,0,0,0,0
DME,2,13,234,1,0,0,0,0,0
DRUSEN,2,68,2,178,0,0,0,0,0
CSC,0,1,0,0,4,0,0,0,0
MH,0,0,1,0,0,4,0,0,0
MacTel,0,0,1,0,0,0,3,0,0
Stargardt,0,0,0,0,0,0,0,3,1
RP,0,0,1,0,0,0,0,0,3
