,NORMAL,CNV,DME,DRUSEN,CSC,MH,MacTel,Stargardt,RP
NORMAL,248,1,0,1,0,0,0,0,0
CNV,0,249,1,0,0,0,0,0,0
DME,11,25,213,1,0,0,0,0,0
DRUSEN,5,64,1,180,0,0,0,0,0
CSC,0,1,0,0,4,0,0,0,0
MH,0,0,0,0,0,5,0,0,0
MacTel,0,0,0,0,0,0,2,0,2
Stargardt,0,0,0,0,0,0,0,4,0
RP,0,0,1,0,0,0,0,0,3
