epoch,accuracy,loss,val_accuracy,val_loss
0,0.8477301597595215,0.4272204339504242,0.8917917609214783,0.3013550639152527
1,0.8813496232032776,0.3301141858100891,0.8957818746566772,0.29648032784461975
2,0.889377772808075,0.308596670627594,0.8982519507408142,0.2950972318649292
3,0.8941633105278015,0.2962828278541565,0.8993920087814331,0.2942748963832855
4,0.8975505828857422,0.28803542256355286,0.9000570178031921,0.2937156856060028
5,0.8997806310653687,0.28230252861976624,0.9017670750617981,0.293874055147171
6,0.9017816185951233,0.2772895395755768,0.9021470546722412,0.29307258129119873
7,0.9033607244491577,0.2734200358390808,0.9031921029090881,0.29337790608406067
8,0.9043974280357361,0.2704411745071411,0.9032871127128601,0.29466357827186584
9,0.905482292175293,0.26757699251174927,0.9031921029090881,0.29570460319519043
10,0.9063622355461121,0.26537129282951355,0.9035720825195312,0.2961193919181824
11,0.9072180986404419,0.26342347264289856,0.9033821225166321,0.29799020290374756
12,0.9080739617347717,0.26167553663253784,0.9033821225166321,0.29920369386672974
13,0.9086164236068726,0.2600017786026001,0.9031921029090881,0.30059972405433655
14,0.9091588258743286,0.25864526629447937,0.9029070734977722,0.30200818181037903
15,0.9097736477851868,0.25729966163635254,0.903477132320404,0.30324864387512207
16,0.910171389579773,0.25630709528923035,0.9035720825195312,0.30472323298454285
17,0.9104968905448914,0.25525715947151184,0.903477132320404,0.3059503138065338
18,0.9107379913330078,0.2544374465942383,0.903477132320404,0.3073672950267792
19,0.911135733127594,0.2533268332481384,0.8992019891738892,0.3277476727962494
20,0.9113888740539551,0.2527501583099365,0.9030970931053162,0.3103032410144806
21,0.911557674407959,0.2518866956233978,0.9033821225166321,0.3114466369152069
22,0.911557674407959,0.25124236941337585,0.9037621021270752,0.3122760057449341
23,0.9118108153343201,0.2506827414035797,0.903477132320404,0.31348174810409546
24,0.9120277762413025,0.25016775727272034,0.9032871127128601,0.3146865665912628
25,0.9122326970100403,0.24961063265800476,0.9031921029090881,0.31623587012290955
26,0.9125340580940247,0.24902091920375824,0.9033821225166321,0.3169185519218445
