epoch,accuracy,loss,val_accuracy,val_loss
0,0.8386247754096985,0.4509434998035431,0.8790678381919861,0.3284337520599365
1,0.8694959878921509,0.36446407437324524,0.8841066360473633,0.31631776690483093
2,0.8774871230125427,0.3420775830745697,0.8867310285568237,0.31154945492744446
3,0.8826705813407898,0.3290407657623291,0.8894604444503784,0.3103759288787842
4,0.8860046863555908,0.3203185498714447,0.89009028673172,0.31095167994499207
5,0.8883669376373291,0.3140166401863098,0.8898802995681763,0.3101148307323456
6,0.8904862403869629,0.3086881637573242,0.8903002142906189,0.31089648604393005
7,0.8920655250549316,0.30465438961982727,0.8907201290130615,0.3120878338813782
8,0.8932129144668579,0.30129876732826233,0.8910350799560547,0.31353747844696045
9,0.8945223093032837,0.2984066903591156,0.8912450075149536,0.3159288465976715
10,0.895156741142273,0.2954259514808655,0.8912450075149536,0.31681564450263977
11,0.8958991169929504,0.29337531328201294,0.8909300565719604,0.3184923231601715
12,0.8963850736618042,0.2913511395454407,0.8905102014541626,0.3202510476112366
13,0.89707350730896,0.28952619433403015,0.89009028673172,0.3219756484031677
14,0.8973029851913452,0.28797152638435364,0.8897753357887268,0.3236514627933502
15,0.8977484703063965,0.28658047318458557,0.8895654082298279,0.32530519366264343
16,0.898301899433136,0.2853235602378845,0.8889355659484863,0.3269253671169281
17,0.8986123204231262,0.2841736376285553,0.8887255787849426,0.3285026550292969
18,0.8990442752838135,0.2831266522407532,0.8880957365036011,0.33002999424934387
19,0.8993682861328125,0.2823397219181061,0.8877807855606079,0.33152860403060913
20,0.899827241897583,0.2812933921813965,0.8873609304428101,0.3329716622829437
21,0.9000567197799683,0.2804810702800751,0.8874658942222595,0.3343692123889923
22,0.9005426168441772,0.2797330617904663,0.8876758217811584,0.3357251286506653
23,0.9009475708007812,0.27907896041870117,0.8874658942222595,0.33705267310142517
24,0.9011095762252808,0.27839037775993347,0.8874658942222595,0.3383345603942871
25,0.901433527469635,0.277915358543396,0.8870459794998169,0.33954647183418274
